date,mandi,variety,modal_price
2022-04-04,Raipur,Common,2065
2022-04-05,Raipur,Common,2034
2022-04-06,Raipur,Common,2018
2022-04-07,Raipur,Common,2029
2022-04-08,Raipur,Common,2053
2022-04-09,Raipur,Common,2083
2022-04-10,Raipur,Common,2094
2022-04-11,Raipur,Common,2088
2022-04-12,Raipur,Common,2079
2022-04-13,Raipur,Common,2086
2022-04-14,Raipur,Common,2105
2022-04-15,Raipur,Common,2104
2022-04-16,Raipur,Common,2094
2022-04-17,Raipur,Common,2085
2022-04-18,Raipur,Common,2102
2022-04-19,Raipur,Common,2098
2022-04-20,Raipur,Common,2130
2022-04-21,Raipur,Common,2119
2022-04-22,Raipur,Common,2077
2022-04-23,Raipur,Common,2061
2022-04-24,Raipur,Common,2044
2022-04-25,Raipur,Common,2042
2022-04-26,Raipur,Common,2063
2022-04-27,Raipur,Common,2047
2022-04-28,Raipur,Common,2057
2022-04-29,Raipur,Common,2087
2022-04-30,Raipur,Common,2097
2022-05-01,Raipur,Common,2105
2022-05-02,Raipur,Common,2116
2022-05-03,Raipur,Common,2130
2022-05-04,Raipur,Common,2116
2022-05-05,Raipur,Common,2120
2022-05-06,Raipur,Common,2107
2022-05-07,Raipur,Common,2088
2022-05-08,Raipur,Common,2089
2022-05-09,Raipur,Common,2079
2022-05-10,Raipur,Common,2092
2022-05-11,Raipur,Common,2060
2022-05-12,Raipur,Common,2070
2022-05-13,Raipur,Common,2076
2022-05-14,Raipur,Common,2073
2022-05-15,Raipur,Common,2062
2022-05-16,Raipur,Common,2044
2022-05-17,Raipur,Common,2041
2022-05-18,Raipur,Common,2044
2022-05-19,Raipur,Common,2036
2022-05-20,Raipur,Common,2048
2022-05-21,Raipur,Common,2034
2022-05-22,Raipur,Common,2051
2022-05-23,Raipur,Common,2042
2022-05-24,Raipur,Common,2053
2022-05-25,Raipur,Common,2046
2022-05-26,Raipur,Common,2090
2022-05-27,Raipur,Common,2053
2022-05-28,Raipur,Common,2080
2022-05-29,Raipur,Common,2089
2022-05-30,Raipur,Common,2106
2022-05-31,Raipur,Common,2078
2022-06-01,Raipur,Common,2067
2022-06-02,Raipur,Common,2033
2022-06-03,Raipur,Common,2032
2022-06-04,Raipur,Common,2029
2022-06-05,Raipur,Common,2028
2022-06-06,Raipur,Common,2020
2022-06-07,Raipur,Common,2002
2022-06-08,Raipur,Common,2007
2022-06-09,Raipur,Common,2036
2022-06-10,Raipur,Common,2044
2022-06-11,Raipur,Common,2033
2022-06-12,Raipur,Common,2042
2022-06-13,Raipur,Common,2054
2022-06-14,Raipur,Common,2039
2022-06-15,Raipur,Common,2030
2022-06-16,Raipur,Common,2048
2022-06-17,Raipur,Common,2056
2022-06-18,Raipur,Common,2035
2022-06-19,Raipur,Common,2031
2022-06-20,Raipur,Common,2015
2022-06-21,Raipur,Common,2041
2022-06-22,Raipur,Common,2036
2022-06-23,Raipur,Common,2027
2022-06-24,Raipur,Common,2008
2022-06-25,Raipur,Common,2042
2022-06-26,Raipur,Common,2046
2022-06-27,Raipur,Common,2064
2022-06-28,Raipur,Common,2057
2022-06-29,Raipur,Common,2077
2022-06-30,Raipur,Common,2078
2022-07-01,Raipur,Common,2069
2022-07-02,Raipur,Common,2070
2022-07-03,Raipur,Common,2075
2022-07-04,Raipur,Common,2088
2022-07-05,Raipur,Common,2100
2022-07-06,Raipur,Common,2059
2022-07-07,Raipur,Common,2062
2022-07-08,Raipur,Common,2044
2022-07-09,Raipur,Common,2052
2022-07-10,Raipur,Common,2065
2022-07-11,Raipur,Common,2067
2022-07-12,Raipur,Common,2063
2022-07-13,Raipur,Common,2075
2022-07-14,Raipur,Common,2079
2022-07-15,Raipur,Common,2063
2022-07-16,Raipur,Common,2077
2022-07-17,Raipur,Common,2092
2022-07-18,Raipur,Common,2097
2022-07-19,Raipur,Common,2104
2022-07-20,Raipur,Common,2098
2022-07-21,Raipur,Common,2092
2022-07-22,Raipur,Common,2093
2022-07-23,Raipur,Common,2075
2022-07-24,Raipur,Common,2098
2022-07-25,Raipur,Common,2107
2022-07-26,Raipur,Common,2132
2022-07-27,Raipur,Common,2122
2022-07-28,Raipur,Common,2141
2022-07-29,Raipur,Common,2106
2022-07-30,Raipur,Common,2103
2022-07-31,Raipur,Common,2121
2022-08-01,Raipur,Common,2119
2022-08-02,Raipur,Common,2102
2022-08-03,Raipur,Common,2119
2022-08-04,Raipur,Common,2114
2022-08-05,Raipur,Common,2121
2022-08-06,Raipur,Common,2121
2022-08-07,Raipur,Common,2118
2022-08-08,Raipur,Common,2119
2022-08-09,Raipur,Common,2079
2022-08-10,Raipur,Common,2050
2022-08-11,Raipur,Common,2098
2022-08-12,Raipur,Common,2081
2022-08-13,Raipur,Common,2085
2022-08-14,Raipur,Common,2098
2022-08-15,Raipur,Common,2134
2022-08-16,Raipur,Common,2150
2022-08-17,Raipur,Common,2155
2022-08-18,Raipur,Common,2154
2022-08-19,Raipur,Common,2134
2022-08-20,Raipur,Common,2100
2022-08-21,Raipur,Common,2098
2022-08-22,Raipur,Common,2101
2022-08-23,Raipur,Common,2133
2022-08-24,Raipur,Common,2141
2022-08-25,Raipur,Common,2136
2022-08-26,Raipur,Common,2125
2022-08-27,Raipur,Common,2140
2022-08-28,Raipur,Common,2140
2022-08-29,Raipur,Common,2166
2022-08-30,Raipur,Common,2199
2022-08-31,Raipur,Common,2211
2022-09-01,Raipur,Common,2212
2022-09-02,Raipur,Common,2218
2022-09-03,Raipur,Common,2235
2022-09-04,Raipur,Common,2218
2022-09-05,Raipur,Common,2215
2022-09-06,Raipur,Common,2207
2022-09-07,Raipur,Common,2199
2022-09-08,Raipur,Common,2225
2022-09-09,Raipur,Common,2219
2022-09-10,Raipur,Common,2221
2022-09-11,Raipur,Common,2239
2022-09-12,Raipur,Common,2232
2022-09-13,Raipur,Common,2250
2022-09-14,Raipur,Common,2241
2022-09-15,Raipur,Common,2247
2022-09-16,Raipur,Common,2237
2022-09-17,Raipur,Common,2234
2022-09-18,Raipur,Common,2260
2022-09-19,Raipur,Common,2254
2022-09-20,Raipur,Common,2253
2022-09-21,Raipur,Common,2271
2022-09-22,Raipur,Common,2270
2022-09-23,Raipur,Common,2274
2022-09-24,Raipur,Common,2250
2022-09-25,Raipur,Common,2264
2022-09-26,Raipur,Common,2295
2022-09-27,Raipur,Common,2304
2022-09-28,Raipur,Common,2298
2022-09-29,Raipur,Common,2301
2022-09-30,Raipur,Common,2260
2022-10-01,Raipur,Common,2260
2022-10-02,Raipur,Common,2241
2022-10-03,Raipur,Common,2250
2022-10-04,Raipur,Common,2268
2022-10-05,Raipur,Common,2264
2022-10-06,Raipur,Common,2256
2022-10-07,Raipur,Common,2263
2022-10-08,Raipur,Common,2238
2022-10-09,Raipur,Common,2236
2022-10-10,Raipur,Common,2227
2022-10-11,Raipur,Common,2223
2022-10-12,Raipur,Common,2266
2022-10-13,Raipur,Common,2268
2022-10-14,Raipur,Common,2255
2022-10-15,Raipur,Common,2226
2022-10-16,Raipur,Common,2238
2022-10-17,Raipur,Common,2225
2022-10-18,Raipur,Common,2243
2022-10-19,Raipur,Common,2283
2022-10-20,Raipur,Common,2285
2022-10-21,Raipur,Common,2280
2022-10-22,Raipur,Common,2266
2022-10-23,Raipur,Common,2252
2022-10-24,Raipur,Common,2274
2022-10-25,Raipur,Common,2276
2022-10-26,Raipur,Common,2265
2022-10-27,Raipur,Common,2252
2022-10-28,Raipur,Common,2252
2022-10-29,Raipur,Common,2287
2022-10-30,Raipur,Common,2280
2022-10-31,Raipur,Common,2268
2022-11-01,Raipur,Common,2275
2022-11-02,Raipur,Common,2241
2022-11-03,Raipur,Common,2228
2022-11-04,Raipur,Common,2246
2022-11-05,Raipur,Common,2256
2022-11-06,Raipur,Common,2263
2022-11-07,Raipur,Common,2288
2022-11-08,Raipur,Common,2255
2022-11-09,Raipur,Common,2266
2022-11-10,Raipur,Common,2264
2022-11-11,Raipur,Common,2261
2022-11-12,Raipur,Common,2248
2022-11-13,Raipur,Common,2259
2022-11-14,Raipur,Common,2294
2022-11-15,Raipur,Common,2299
2022-11-16,Raipur,Common,2303
2022-11-17,Raipur,Common,2296
2022-11-18,Raipur,Common,2304
2022-11-19,Raipur,Common,2285
2022-11-20,Raipur,Common,2299
2022-11-21,Raipur,Common,2263
2022-11-22,Raipur,Common,2262
2022-11-23,Raipur,Common,2256
2022-11-24,Raipur,Common,2260
2022-11-25,Raipur,Common,2260
2022-11-26,Raipur,Common,2262
2022-11-27,Raipur,Common,2260
2022-11-28,Raipur,Common,2255
2022-11-29,Raipur,Common,2241
2022-11-30,Raipur,Common,2247
2022-12-01,Raipur,Common,2259
2022-12-02,Raipur,Common,2259
2022-12-03,Raipur,Common,2259
2022-12-04,Raipur,Common,2277
2022-12-05,Raipur,Common,2263
2022-12-06,Raipur,Common,2264
2022-12-07,Raipur,Common,2303
2022-12-08,Raipur,Common,2299
2022-12-09,Raipur,Common,2321
2022-12-10,Raipur,Common,2311
2022-12-11,Raipur,Common,2316
2022-12-12,Raipur,Common,2296
2022-12-13,Raipur,Common,2299
2022-12-14,Raipur,Common,2308
2022-12-15,Raipur,Common,2318
2022-12-16,Raipur,Common,2342
2022-12-17,Raipur,Common,2336
2022-12-18,Raipur,Common,2330
2022-12-19,Raipur,Common,2325
2022-12-20,Raipur,Common,2329
2022-12-21,Raipur,Common,2312
2022-12-22,Raipur,Common,2309
2022-12-23,Raipur,Common,2293
2022-12-24,Raipur,Common,2295
2022-12-25,Raipur,Common,2280
2022-12-26,Raipur,Common,2292
2022-12-27,Raipur,Common,2293
2022-12-28,Raipur,Common,2288
2022-12-29,Raipur,Common,2289
2022-12-30,Raipur,Common,2268
2022-12-31,Raipur,Common,2273
2023-01-01,Raipur,Common,2265
2023-01-02,Raipur,Common,2259
2023-01-03,Raipur,Common,2295
2023-01-04,Raipur,Common,2307
2023-01-05,Raipur,Common,2302
2023-01-06,Raipur,Common,2291
2023-01-07,Raipur,Common,2300
2023-01-08,Raipur,Common,2281
2023-01-09,Raipur,Common,2315
2023-01-10,Raipur,Common,2296
2023-01-11,Raipur,Common,2295
2023-01-12,Raipur,Common,2312
2023-01-13,Raipur,Common,2297
2023-01-14,Raipur,Common,2317
2023-01-15,Raipur,Common,2305
2023-01-16,Raipur,Common,2296
2023-01-17,Raipur,Common,2297
2023-01-18,Raipur,Common,2276
2023-01-19,Raipur,Common,2276
2023-01-20,Raipur,Common,2253
2023-01-21,Raipur,Common,2233
2023-01-22,Raipur,Common,2222
2023-01-23,Raipur,Common,2241
2023-01-24,Raipur,Common,2261
2023-01-25,Raipur,Common,2226
2023-01-26,Raipur,Common,2235
2023-01-27,Raipur,Common,2226
2023-01-28,Raipur,Common,2239
2023-01-29,Raipur,Common,2219
2023-01-30,Raipur,Common,2214
2023-01-31,Raipur,Common,2236
2023-02-01,Raipur,Common,2245
2023-02-02,Raipur,Common,2218
2023-02-03,Raipur,Common,2221
2023-02-04,Raipur,Common,2242
2023-02-05,Raipur,Common,2237
2023-02-06,Raipur,Common,2229
2023-02-07,Raipur,Common,2233
2023-02-08,Raipur,Common,2206
2023-02-09,Raipur,Common,2174
2023-02-10,Raipur,Common,2159
2023-02-11,Raipur,Common,2160
2023-02-12,Raipur,Common,2178
2023-02-13,Raipur,Common,2204
2023-02-14,Raipur,Common,2202
2023-02-15,Raipur,Common,2222
2023-02-16,Raipur,Common,2223
2023-02-17,Raipur,Common,2211
2023-02-18,Raipur,Common,2239
2023-02-19,Raipur,Common,2246
2023-02-20,Raipur,Common,2243
2023-02-21,Raipur,Common,2227
2023-02-22,Raipur,Common,2198
2023-02-23,Raipur,Common,2212
2023-02-24,Raipur,Common,2224
2023-02-25,Raipur,Common,2238
2023-02-26,Raipur,Common,2238
2023-02-27,Raipur,Common,2214
2023-02-28,Raipur,Common,2201
2023-03-01,Raipur,Common,2198
2023-03-02,Raipur,Common,2221
2023-03-03,Raipur,Common,2205
2023-03-04,Raipur,Common,2199
2023-03-05,Raipur,Common,2170
2023-03-06,Raipur,Common,2171
2023-03-07,Raipur,Common,2177
2023-03-08,Raipur,Common,2162
2023-03-09,Raipur,Common,2169
2023-03-10,Raipur,Common,2153
2023-03-11,Raipur,Common,2145
2023-03-12,Raipur,Common,2149
2023-03-13,Raipur,Common,2146
2023-03-14,Raipur,Common,2149
2023-03-15,Raipur,Common,2160
2023-03-16,Raipur,Common,2149
2023-03-17,Raipur,Common,2130
2023-03-18,Raipur,Common,2158
2023-03-19,Raipur,Common,2152
2023-03-20,Raipur,Common,2137
2023-03-21,Raipur,Common,2153
2023-03-22,Raipur,Common,2138
2023-03-23,Raipur,Common,2148
2023-03-24,Raipur,Common,2139
2023-03-25,Raipur,Common,2149
2023-03-26,Raipur,Common,2112
2023-03-27,Raipur,Common,2093
2023-03-28,Raipur,Common,2114
2023-03-29,Raipur,Common,2138
2023-03-30,Raipur,Common,2135
2023-03-31,Raipur,Common,2136
2023-04-01,Raipur,Common,2129
2023-04-02,Raipur,Common,2153
2023-04-03,Raipur,Common,2172
2023-04-04,Raipur,Common,2170
2023-04-05,Raipur,Common,2159
2023-04-06,Raipur,Common,2159
2023-04-07,Raipur,Common,2149
2023-04-08,Raipur,Common,2169
2023-04-09,Raipur,Common,2137
2023-04-10,Raipur,Common,2123
2023-04-11,Raipur,Common,2121
2023-04-12,Raipur,Common,2124
2023-04-13,Raipur,Common,2092
2023-04-14,Raipur,Common,2104
2023-04-15,Raipur,Common,2121
2023-04-16,Raipur,Common,2105
2023-04-17,Raipur,Common,2084
2023-04-18,Raipur,Common,2116
2023-04-19,Raipur,Common,2118
2023-04-20,Raipur,Common,2097
2023-04-21,Raipur,Common,2077
2023-04-22,Raipur,Common,2092
2023-04-23,Raipur,Common,2105
2023-04-24,Raipur,Common,2082
2023-04-25,Raipur,Common,2060
2023-04-26,Raipur,Common,2031
2023-04-27,Raipur,Common,2056
2023-04-28,Raipur,Common,2025
2023-04-29,Raipur,Common,2025
2023-04-30,Raipur,Common,2038
2023-05-01,Raipur,Common,2042
2023-05-02,Raipur,Common,2050
2023-05-03,Raipur,Common,2068
2023-05-04,Raipur,Common,2046
2023-05-05,Raipur,Common,2044
2023-05-06,Raipur,Common,2036
2023-05-07,Raipur,Common,2033
2023-05-08,Raipur,Common,2046
2023-05-09,Raipur,Common,2065
2023-05-10,Raipur,Common,2077
2023-05-11,Raipur,Common,2078
2023-05-12,Raipur,Common,2088
2023-05-13,Raipur,Common,2106
2023-05-14,Raipur,Common,2117
2023-05-15,Raipur,Common,2141
2023-05-16,Raipur,Common,2130
2023-05-17,Raipur,Common,2128
2023-05-18,Raipur,Common,2100
2023-05-19,Raipur,Common,2103
2023-05-20,Raipur,Common,2092
2023-05-21,Raipur,Common,2086
2023-05-22,Raipur,Common,2093
2023-05-23,Raipur,Common,2090
2023-05-24,Raipur,Common,2101
2023-05-25,Raipur,Common,2102
2023-05-26,Raipur,Common,2115
2023-05-27,Raipur,Common,2099
2023-05-28,Raipur,Common,2090
2023-05-29,Raipur,Common,2076
2023-05-30,Raipur,Common,2066
2023-05-31,Raipur,Common,2081
2023-06-01,Raipur,Common,2089
2023-06-02,Raipur,Common,2109
2023-06-03,Raipur,Common,2091
2023-06-04,Raipur,Common,2127
2023-06-05,Raipur,Common,2125
2023-06-06,Raipur,Common,2112
2023-06-07,Raipur,Common,2117
2023-06-08,Raipur,Common,2111
2023-06-09,Raipur,Common,2124
2023-06-10,Raipur,Common,2113
2023-06-11,Raipur,Common,2121
2023-06-12,Raipur,Common,2101
2023-06-13,Raipur,Common,2086
2023-06-14,Raipur,Common,2093
2023-06-15,Raipur,Common,2074
2023-06-16,Raipur,Common,2067
2023-06-17,Raipur,Common,2082
2023-06-18,Raipur,Common,2095
2023-06-19,Raipur,Common,2064
2023-06-20,Raipur,Common,2069
2023-06-21,Raipur,Common,2076
2023-06-22,Raipur,Common,2086
2023-06-23,Raipur,Common,2100
2023-06-24,Raipur,Common,2108
2023-06-25,Raipur,Common,2093
2023-06-26,Raipur,Common,2100
2023-06-27,Raipur,Common,2131
2023-06-28,Raipur,Common,2147
2023-06-29,Raipur,Common,2165
2023-06-30,Raipur,Common,2168
2023-07-01,Raipur,Common,2166
2023-07-02,Raipur,Common,2178
2023-07-03,Raipur,Common,2156
2023-07-04,Raipur,Common,2163
2023-07-05,Raipur,Common,2167
2023-07-06,Raipur,Common,2168
2023-07-07,Raipur,Common,2184
2023-07-08,Raipur,Common,2191
2023-07-09,Raipur,Common,2208
2023-07-10,Raipur,Common,2203
2023-07-11,Raipur,Common,2195
2023-07-12,Raipur,Common,2195
2023-07-13,Raipur,Common,2202
2023-07-14,Raipur,Common,2172
2023-07-15,Raipur,Common,2175
2023-07-16,Raipur,Common,2179
2023-07-17,Raipur,Common,2174
2023-07-18,Raipur,Common,2156
2023-07-19,Raipur,Common,2152
2023-07-20,Raipur,Common,2129
2023-07-21,Raipur,Common,2115
2023-07-22,Raipur,Common,2112
2023-07-23,Raipur,Common,2080
2023-07-24,Raipur,Common,2078
2023-07-25,Raipur,Common,2097
2023-07-26,Raipur,Common,2110
2023-07-27,Raipur,Common,2109
2023-07-28,Raipur,Common,2111
2023-07-29,Raipur,Common,2110
2023-07-30,Raipur,Common,2123
2023-07-31,Raipur,Common,2112
2023-08-01,Raipur,Common,2093
2023-08-02,Raipur,Common,2086
2023-08-03,Raipur,Common,2078
2023-08-04,Raipur,Common,2092
2023-08-05,Raipur,Common,2068
2023-08-06,Raipur,Common,2073
2023-08-07,Raipur,Common,2074
2023-08-08,Raipur,Common,2091
2023-08-09,Raipur,Common,2124
2023-08-10,Raipur,Common,2132
2023-08-11,Raipur,Common,2155
2023-08-12,Raipur,Common,2167
2023-08-13,Raipur,Common,2160
2023-08-14,Raipur,Common,2146
2023-08-15,Raipur,Common,2153
2023-08-16,Raipur,Common,2139
2023-08-17,Raipur,Common,2137
2023-08-18,Raipur,Common,2150
2023-08-19,Raipur,Common,2190
2023-08-20,Raipur,Common,2161
2023-08-21,Raipur,Common,2189
2023-08-22,Raipur,Common,2180
2023-08-23,Raipur,Common,2184
2023-08-24,Raipur,Common,2188
2023-08-25,Raipur,Common,2203
2023-08-26,Raipur,Common,2219
2023-08-27,Raipur,Common,2215
2023-08-28,Raipur,Common,2225
2023-08-29,Raipur,Common,2233
2023-08-30,Raipur,Common,2212
2023-08-31,Raipur,Common,2221
2023-09-01,Raipur,Common,2228
2023-09-02,Raipur,Common,2237
2023-09-03,Raipur,Common,2245
2023-09-04,Raipur,Common,2251
2023-09-05,Raipur,Common,2219
2023-09-06,Raipur,Common,2218
2023-09-07,Raipur,Common,2224
2023-09-08,Raipur,Common,2229
2023-09-09,Raipur,Common,2239
2023-09-10,Raipur,Common,2249
2023-09-11,Raipur,Common,2285
2023-09-12,Raipur,Common,2253
2023-09-13,Raipur,Common,2216
2023-09-14,Raipur,Common,2223
2023-09-15,Raipur,Common,2218
2023-09-16,Raipur,Common,2233
2023-09-17,Raipur,Common,2235
2023-09-18,Raipur,Common,2254
2023-09-19,Raipur,Common,2258
2023-09-20,Raipur,Common,2288
2023-09-21,Raipur,Common,2289
2023-09-22,Raipur,Common,2261
2023-09-23,Raipur,Common,2251
2023-09-24,Raipur,Common,2239
2023-09-25,Raipur,Common,2230
2023-09-26,Raipur,Common,2252
2023-09-27,Raipur,Common,2238
2023-09-28,Raipur,Common,2255
2023-09-29,Raipur,Common,2262
2023-09-30,Raipur,Common,2282
2023-10-01,Raipur,Common,2295
2023-10-02,Raipur,Common,2274
2023-10-03,Raipur,Common,2269
2023-10-04,Raipur,Common,2282
2023-10-05,Raipur,Common,2275
2023-10-06,Raipur,Common,2288
2023-10-07,Raipur,Common,2289
2023-10-08,Raipur,Common,2282
2023-10-09,Raipur,Common,2273
2023-10-10,Raipur,Common,2266
2023-10-11,Raipur,Common,2243
2023-10-12,Raipur,Common,2240
2023-10-13,Raipur,Common,2233
2023-10-14,Raipur,Common,2242
2023-10-15,Raipur,Common,2234
2023-10-16,Raipur,Common,2230
2023-10-17,Raipur,Common,2211
2023-10-18,Raipur,Common,2207
2023-10-19,Raipur,Common,2205
2023-10-20,Raipur,Common,2230
2023-10-21,Raipur,Common,2219
2023-10-22,Raipur,Common,2216
2023-10-23,Raipur,Common,2219
2023-10-24,Raipur,Common,2237
2023-10-25,Raipur,Common,2248
2023-10-26,Raipur,Common,2244
2023-10-27,Raipur,Common,2249
2023-10-28,Raipur,Common,2254
2023-10-29,Raipur,Common,2269
2023-10-30,Raipur,Common,2267
2023-10-31,Raipur,Common,2267
2023-11-01,Raipur,Common,2257
2023-11-02,Raipur,Common,2247
2023-11-03,Raipur,Common,2237
2023-11-04,Raipur,Common,2239
2023-11-05,Raipur,Common,2260
2023-11-06,Raipur,Common,2285
2023-11-07,Raipur,Common,2273
2023-11-08,Raipur,Common,2297
2023-11-09,Raipur,Common,2322
2023-11-10,Raipur,Common,2321
2023-11-11,Raipur,Common,2322
2023-11-12,Raipur,Common,2292
2023-11-13,Raipur,Common,2287
2023-11-14,Raipur,Common,2280
2023-11-15,Raipur,Common,2276
2023-11-16,Raipur,Common,2274
2023-11-17,Raipur,Common,2276
2023-11-18,Raipur,Common,2285
2023-11-19,Raipur,Common,2291
2023-11-20,Raipur,Common,2275
2023-11-21,Raipur,Common,2274
2023-11-22,Raipur,Common,2260
2023-11-23,Raipur,Common,2279
2023-11-24,Raipur,Common,2295
2023-11-25,Raipur,Common,2349
2023-11-26,Raipur,Common,2355
2023-11-27,Raipur,Common,2368
2023-11-28,Raipur,Common,2360
2023-11-29,Raipur,Common,2352
2023-11-30,Raipur,Common,2357
2023-12-01,Raipur,Common,2355
2023-12-02,Raipur,Common,2352
2023-12-03,Raipur,Common,2345
2023-12-04,Raipur,Common,2310
2023-12-05,Raipur,Common,2316
2023-12-06,Raipur,Common,2309
2023-12-07,Raipur,Common,2304
2023-12-08,Raipur,Common,2315
2023-12-09,Raipur,Common,2312
2023-12-10,Raipur,Common,2322
2023-12-11,Raipur,Common,2341
2023-12-12,Raipur,Common,2331
2023-12-13,Raipur,Common,2319
2023-12-14,Raipur,Common,2301
2023-12-15,Raipur,Common,2299
2023-12-16,Raipur,Common,2306
2023-12-17,Raipur,Common,2325
2023-12-18,Raipur,Common,2332
2023-12-19,Raipur,Common,2367
2023-12-20,Raipur,Common,2359
2023-12-21,Raipur,Common,2350
2023-12-22,Raipur,Common,2336
2023-12-23,Raipur,Common,2340
2023-12-24,Raipur,Common,2320
2023-12-25,Raipur,Common,2269
2023-12-26,Raipur,Common,2269
2023-12-27,Raipur,Common,2297
2023-12-28,Raipur,Common,2295
2023-12-29,Raipur,Common,2314
2023-12-30,Raipur,Common,2297
2023-12-31,Raipur,Common,2298
2024-01-01,Raipur,Common,2280
2024-01-02,Raipur,Common,2281
2024-01-03,Raipur,Common,2256
2024-01-04,Raipur,Common,2251
2024-01-05,Raipur,Common,2266
2024-01-06,Raipur,Common,2264
2024-01-07,Raipur,Common,2240
2024-01-08,Raipur,Common,2241
2024-01-09,Raipur,Common,2262
2024-01-10,Raipur,Common,2260
2024-01-11,Raipur,Common,2265
2024-01-12,Raipur,Common,2294
2024-01-13,Raipur,Common,2304
2024-01-14,Raipur,Common,2300
2024-01-15,Raipur,Common,2295
2024-01-16,Raipur,Common,2319
2024-01-17,Raipur,Common,2327
2024-01-18,Raipur,Common,2335
2024-01-19,Raipur,Common,2324
2024-01-20,Raipur,Common,2333
2024-01-21,Raipur,Common,2314
2024-01-22,Raipur,Common,2310
2024-01-23,Raipur,Common,2321
2024-01-24,Raipur,Common,2342
2024-01-25,Raipur,Common,2311
2024-01-26,Raipur,Common,2308
2024-01-27,Raipur,Common,2338
2024-01-28,Raipur,Common,2353
2024-01-29,Raipur,Common,2325
2024-01-30,Raipur,Common,2333
2024-01-31,Raipur,Common,2290
2024-02-01,Raipur,Common,2279
2024-02-02,Raipur,Common,2299
2024-02-03,Raipur,Common,2294
2024-02-04,Raipur,Common,2291
2024-02-05,Raipur,Common,2292
2024-02-06,Raipur,Common,2299
2024-02-07,Raipur,Common,2303
2024-02-08,Raipur,Common,2303
2024-02-09,Raipur,Common,2288
2024-02-10,Raipur,Common,2303
2024-02-11,Raipur,Common,2318
2024-02-12,Raipur,Common,2321
2024-02-13,Raipur,Common,2323
2024-02-14,Raipur,Common,2285
2024-02-15,Raipur,Common,2303
